,observed,future_prediction,past_pred
2023-05-22,26856.0,,
2023-05-23,27226.0,,
2023-05-24,26325.0,,
2023-05-25,26478.0,,
2023-05-26,26718.0,,
2023-05-27,26872.0,,
2023-05-28,28072.0,,
2023-05-29,27749.0,,
2023-05-30,27706.0,,
2023-05-31,27219.0,,
2023-06-01,26826.0,,
2023-06-02,27251.0,,
2023-06-03,27076.0,,
2023-06-04,27125.0,,
2023-06-05,25739.0,,
2023-06-06,27236.0,,
2023-06-07,26348.0,,
2023-06-08,26510.0,,
2023-06-09,26484.0,,
2023-06-10,25857.0,,
2023-06-11,25941.0,,
2023-06-12,25906.0,,
2023-06-13,25934.0,,
2023-06-14,25127.0,,
2023-06-15,25573.0,,
2023-06-16,26333.0,,
2023-06-17,26507.0,,
2023-06-18,26340.0,,
2023-06-19,26842.0,,
2023-06-20,28315.0,,
2023-06-21,30009.0,,
2023-06-22,29889.0,,
2023-06-23,30716.0,,
2023-06-24,30548.0,,
2023-06-25,30477.0,,
2023-06-26,30274.0,,
2023-06-27,30696.0,,
2023-06-29,30444.0,,
2023-06-30,30469.0,,
2023-07-01,30592.0,,
2023-07-02,30616.0,,
2023-07-03,31158.0,,
2023-07-04,30771.0,,
2023-07-05,30501.0,,
2023-07-06,29912.0,,
2023-07-07,30348.0,,
2023-07-08,30293.0,,
2023-07-09,30167.0,,
2023-07-10,30421.0,,
2023-07-11,30621.0,,
2023-07-12,30382.0,,
2023-07-13,31471.0,,
2023-07-14,30331.0,,
2023-07-15,30301.0,,
2023-07-16,30251.0,,
2023-07-17,30154.0,,
2023-07-18,29868.0,,
2023-07-19,29919.0,,
2023-07-20,29806.0,,
2023-07-21,29908.0,,
2023-07-22,29789.0,,
2023-07-23,30085.0,,
2023-07-24,29177.0,,
2023-07-25,29224.0,,
2023-07-26,29354.0,,
2023-07-27,29219.0,,
2023-07-28,29317.0,,
2023-07-29,29360.0,,
2023-07-30,29279.0,,
2023-07-31,29231.0,,
2023-08-01,29696.0,,
2023-08-02,29164.0,,
2023-08-03,29176.0,,
2023-08-04,29077.0,,
2023-08-05,29049.0,,
2023-08-06,29042.0,,
2023-08-07,29181.0,,
2023-08-08,29764.0,,
2023-08-09,29565.0,,
2023-08-10,29423.0,,
2023-08-11,29398.0,,
2023-08-12,29415.0,,
2023-08-13,29284.0,,
2023-08-14,29408.0,,
2023-08-15,29172.0,,
2023-08-16,28701.0,,
2023-08-17,26642.0,,
2023-08-18,26051.0,,
2023-08-19,26097.0,,
2023-08-20,26192.0,,
2023-08-21,26125.0,,
2023-08-22,26042.0,,
2023-08-23,26431.0,,
2023-08-24,26168.0,,
2023-08-25,26048.0,,
2023-08-26,26008.0,,
2023-08-27,26090.0,,
2023-08-28,26103.0,,
2023-08-29,27726.0,,
2023-08-30,27300.0,,
2023-08-31,25932.0,,
2023-09-01,25798.0,,
2023-09-02,25870.0,,
2023-09-03,25970.0,,
2023-09-04,25819.0,,
2023-09-05,25783.0,,
2023-09-06,25748.0,,
2023-09-07,26245.0,,
2023-09-08,25908.0,,
2023-09-09,25899.0,,
2023-09-10,25836.0,,
2023-09-11,25155.0,,
2023-09-12,25844.0,,
2023-09-13,26226.0,,
2023-09-14,26529.0,,
2023-09-15,26607.0,,
2023-09-16,26566.0,,
2023-09-17,,26052.688,
2023-09-18,,26480.957,
2023-09-19,,26847.129,
2023-09-20,,27203.906,
2023-09-21,,27560.246,
2023-09-22,,27915.238,
2023-09-23,,28276.15,
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,26052.688
249,,,26480.957
250,,,26847.129
251,,,27203.906
252,,,27560.246
253,,,27915.238
254,,,28276.15
255,,,28641.129
256,,,29010.79
257,,,29384.63
258,,,29762.385
259,,,30143.984
260,,,30529.314
261,,,30918.307
