Date,Close
2018-05-22,128.21
2018-05-23,118.95
2018-05-24,122.87
2018-05-25,119.0
2018-05-26,118.45
2018-05-27,117.71
2018-05-28,111.35
2018-05-29,118.9
2018-05-30,117.22
2018-05-31,118.1
2018-06-01,120.23
2018-06-02,123.52
2018-06-03,124.99
2018-06-04,119.91
2018-06-05,121.99
2018-06-06,121.21
2018-06-07,121.26
2018-06-08,120.19
2018-06-09,117.54
2018-06-10,106.85
2018-06-11,107.36
2018-06-12,100.1
2018-06-13,93.58
2018-06-14,100.99
2018-06-15,95.43
2018-06-16,96.46
2018-06-17,95.0
2018-06-18,98.67
2018-06-19,98.67
2018-06-20,97.92
2018-06-21,96.7
2018-06-22,84.96
2018-06-23,83.07
2018-06-24,80.75
2018-06-25,81.68
2018-06-26,76.01
2018-06-27,80.78
2018-06-28,74.28
2018-06-29,79.03
2018-06-30,81.2
2018-07-01,79.91
2018-07-02,85.42
2018-07-03,84.99
2018-07-04,85.24
2018-07-05,83.09
2018-07-06,83.13
2018-07-07,85.04
2018-07-08,82.28
2018-07-09,80.42
2018-07-10,75.87
2018-07-11,78.25
2018-07-12,76.9
2018-07-13,76.7
2018-07-14,76.23
2018-07-15,78.6
2018-07-16,83.75
2018-07-17,89.16
2018-07-18,86.06
2018-07-19,86.09
2018-07-20,81.64
2018-07-21,83.51
2018-07-22,82.34
2018-07-23,81.3
2018-07-24,89.27
2018-07-25,86.28
2018-07-26,83.51
2018-07-27,84.48
2018-07-28,84.2
2018-07-29,84.05
2018-07-30,82.23
2018-07-31,78.86
2018-08-01,77.71
2018-08-02,76.23
2018-08-03,77.67
2018-08-04,73.01
2018-08-05,74.75
2018-08-06,73.49
2018-08-07,67.37
2018-08-08,62.15
2018-08-09,62.98
2018-08-10,59.15
2018-08-11,57.79
2018-08-12,59.24
2018-08-13,56.5
2018-08-14,54.25
2018-08-15,54.39
2018-08-16,55.25
2018-08-17,61.78
2018-08-18,57.17
2018-08-19,57.9
2018-08-20,53.46
2018-08-21,56.47
2018-08-22,55.15
2018-08-23,57.25
2018-08-24,57.96
2018-08-25,57.94
2018-08-26,57.02
2018-08-27,60.63
2018-08-28,63.13
2018-08-29,61.44
2018-08-30,60.1
2018-08-31,62.15
2018-09-01,66.45
2018-09-02,66.12
2018-09-03,65.31
2018-09-04,67.6
2018-09-05,57.71
2018-09-06,57.31
2018-09-07,55.68
2018-09-08,52.95
2018-09-09,54.69
2018-09-10,54.3
2018-09-11,51.92
2018-09-12,51.66
2018-09-13,54.44
2018-09-14,56.3
2018-09-15,56.35
2018-09-16,56.76
2018-09-17,52.23
2018-09-18,53.86
2018-09-19,54.17
2018-09-20,56.5
2018-09-21,60.84
2018-09-22,60.53
2018-09-23,61.37
2018-09-24,57.93
2018-09-25,57.44
2018-09-26,57.25
2018-09-27,63.06
2018-09-28,61.62
2018-09-29,61.2
2018-09-30,60.83
2018-10-01,60.05
2018-10-02,58.99
2018-10-03,57.18
2018-10-04,57.93
2018-10-05,58.58
2018-10-06,57.87
2018-10-07,58.0
2018-10-08,59.12
2018-10-09,58.35
2018-10-10,57.38
2018-10-11,50.65
2018-10-12,52.92
2018-10-13,52.68
2018-10-14,51.17
2018-10-15,53.42
2018-10-16,53.05
2018-10-17,52.8
2018-10-18,51.77
2018-10-19,52.38
2018-10-20,52.76
2018-10-21,52.16
2018-10-22,51.65
2018-10-23,52.1
2018-10-24,51.87
2018-10-25,51.85
